param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
alpha_,accuracy,-0.1930500833314229,0.8244406823691685,0.06258834929659723,-0.3157209938045663,-0.07037917285827949,0.7292628906503178,0.9320403484938301,0.0,-3.084441201933385,0.002039349163597318,8.937675479653503
alpha_,attack.init.eps,0.23006240328997193,1.2586785531615088,0.0290246857685916,0.17317506452094014,0.28694974205900375,1.1890742515781823,1.3323572502609038,0.0,7.926439070666139,2.255192135231394e-15,48.65567107154277
alpha_,data.sample.random_state,-0.004537403893047632,0.9954728745722708,0.018670847078752387,-0.041131591728257186,0.03205678394216192,0.9597028326837774,1.0325761373840854,0.0,-0.2430207838942264,0.8079892967956862,0.3075919127544247
alpha_,device_id_nvidia-l4,-0.06533510233960318,0.9367535024855124,0.10357178373392538,-0.2683320682726683,0.13766186359346197,0.7646538216655122,1.147587443567017,0.0,-0.6308195145837041,0.5281585421900153,0.9209570332995113
alpha_,device_id_nvidia-tesla-p100,-0.21201708696414248,0.8089508749338138,0.10153925870660338,-0.4110303770459802,-0.013003796882304741,0.6629667923221093,0.9870803871851171,0.0,-2.0880306756696307,0.03679506765399384,4.764343802515258
alpha_,device_id_nvidia-tesla-v100,0.2551392684315087,1.2906413539540327,0.10320019363949492,0.052870605700539086,0.4574079311624783,1.0542932167608112,1.5799732731413472,0.0,2.472275094005893,0.01342561608148627,6.218867896922587
alpha_,model.trainer.batch_size,-2.641172951838225e-05,0.9999735886192683,4.196080939204992e-06,-3.4635897035439035e-05,-1.8187562001325462e-05,0.9999653647027803,0.9999818126033914,0.0,-6.2943803756526995,3.086301756313652e-10,31.5934018237588
alpha_,model.trainer.nb_epoch,0.0003378104705947706,1.0003378675349772,0.00038819180612290283,-0.0004230314884996742,0.0010986524296892153,0.9995770579767045,1.0010992561693495,0.0,0.8702153555704333,0.3841827258121634,1.3801354429984325
alpha_,predict_proba_time,0.7394735129131418,2.094832321944894,0.058871467715181695,0.6240875564743731,0.8548594693519105,1.866542065974664,2.3510439636266964,0.0,12.560813270202322,3.467501576278018e-36,117.7955148775669
alpha_,train_time,0.0008831289521466441,1.0008835190253396,2.3163945252204843e-05,0.0008377284537124651,0.0009285294505808232,1.0008380794461988,1.0009289606675065,0.0,38.12515279807891,0.0,inf
alpha_,Intercept,-3.0430813545081183,0.04768772009879472,0.11822509121033062,-3.274798275349329,-2.8113644336669075,0.037824498593549374,0.06012290268955,0.0,-25.73972515778623,4.201188227187713e-146,482.9307044287524
beta_,Intercept,1.6081906708216236,4.993767679350367,0.022584913894356823,1.563925052994746,1.6524562886485012,4.7775365760228885,5.2197853932672595,0.0,71.20641142773867,0.0,inf
