covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
model.trainer.nb_epoch,0.002230742808357328,1.0022332327662369,0.0007311124177094826,0.0007977888009967381,0.003663696815717918,1.000798107119127,1.0036704163565107,0.0,3.051162522100321,0.002279571483852147,8.77702163405472
attack.init.eps,-1.4984009802882772,0.22348723508163273,0.04710447470932289,-1.5907240542292278,-1.4060779063473265,0.20377801197415296,0.24510271623794302,0.0,-31.810162188088565,4.683840757156627e-222,735.2403450375682
model.trainer.batch_size,4.319006641917314e-05,1.0000431909991234,4.483072101844496e-06,3.440340655946164e-05,5.197672627888463e-05,1.0000344039983633,1.0000519780770922,0.0,9.634033412356496,5.742993094141005e-22,70.56061526061511
accuracy,0.2968722759178145,1.3456434174011564,0.0477952709856528,0.20319526615460282,0.3905492856810262,1.225311706794319,1.477792301138127,0.0,6.21133157727947,5.253748143776766e-10,30.825933907220765
predict_proba_time,-0.9276220527679655,0.3954930546880396,0.028464353973254194,-0.9834111613987433,-0.8718329441371877,0.3740330332018818,0.4181843378043373,0.0,-32.588902373810484,5.890525170270611e-233,771.450849845367
data.sample.random_state,0.01463961733997782,1.0147473013805919,0.005692168518958044,0.003483172048887354,0.02579606263106829,1.0034892453420428,1.0261316605423239,0.0,2.5718875488699715,0.010114573890051617,6.627420646908519
train_time,-0.002214716363334913,0.9977877343114331,7.704004651042257e-05,-0.002365712079862632,-0.0020637206468071944,0.9976370840116094,0.9979384073605243,0.0,-28.747598991068745,9.705677786055718e-182,601.3120843039142
device_id_nvidia-l4,-0.6147587012170828,0.5407713670400518,0.05804764972726464,-0.7285300040697178,-0.5009873983644477,0.4826179152753109,0.6059320679041653,0.0,-10.590587286574227,3.295179439657424e-26,84.64977343745109
device_id_nvidia-tesla-p100,0.5680617002912511,1.7648429394725933,0.055114492804049,0.46003927936912314,0.6760841212133791,1.5841362076432817,1.9661633803825218,0.0,10.306938726822835,6.5556304092022735e-25,80.33546785115749
device_id_nvidia-tesla-v100,0.089506303906288,1.093634227458304,0.05627105218770992,-0.020782931753797265,0.19979553956637325,0.9794315449841413,1.2211530551506662,0.0,1.5906278703961563,0.1116933483993889,3.162384822378122
dataset_cifar,0.09179325640169368,1.0961381791017433,0.054891728279169445,-0.015792554074637227,0.1993790668780246,0.9843314944347081,1.2206445841443954,0.0,1.6722602708890801,0.09447301020735224,3.40395396204462
dataset_cifar100,-0.6696407944136032,0.511892419382778,0.060668981240823636,-0.7885498126243538,-0.5507317762028527,0.45450343273340676,0.5765277666786122,0.0,-11.037613962157778,2.516263667502479e-28,91.68270355344141
dataset_mnist,0.4104887941333127,1.50755448883975,0.05834798753212957,0.29612883999994666,0.5248487482666787,1.3446433895263978,1.690203182883578,0.0,7.035183414119901,1.9899905844469656e-12,38.870375533911485
