,AIC,BIC,Concordance,Test Concordance,ICI,Test ICI,E50,Test E50
Weibull,-6472.82,-6482.15,0.9,0.9,0.01,0.01,0.0,0.0
Cox,,,0.9,0.9,0.03,0.03,0.0,0.0
Log Logistic,-6478.05,-6487.38,0.91,0.91,0.04,0.04,0.0,0.0
Log Normal,-6622.41,-6631.74,0.9,0.91,0.03,0.03,0.0,0.0
